STATE,Highschool,Rank,Bachelor's,Rank,Advanced,Rank
WY,91.8,1,23.8,40,7.9,39
MN,91.7,2,31.5,10,10.3,18
AK,91.4,3,26.6,24,9.0,28
NH,91.3,4,32.0,9,11.2,12
VT,91.0,5,33.1,7,13.3,6
MT,90.8,6,27.4,21,8.3,37
IA,91.4,7,25.1,34,7.4,43
HI,90.4,8,29.6,15,9.9,21
UT,90.4,9,28.5,19,9.1,27
ME,90.2,10,26.9,23,9.6,23
ND,90.1,11,25.8,27,6.7,48
SD,89.9,12,25.1,35,7.3,45
NE,89.8,13,27.4,22,8.8,30
WI,89.8,14,25.7,28,8.4,35
KS,89.7,15,29.5,16,10.2,19
WA,89.7,16,31.0,11,11.1,14
CO,89.3,17,35.9,3,12.7,8
OR,89.1,18,29.2,17,10.4,16
MA,89.0,19,38.2,1,16.4,1
MD,89.0,20,37.3,2,16.0,2
CT,88.6,21,35.6,4,15.5,3
ID,88.4,22,23.9,39,7.5,42
MI,87.9,23,24.6,36,9.4,25
PA,87.9,24,26.4,26,10.2,19
OH,87.6,25,24.1,38,8.8,32
DE,87.4,26,28.7,18,11.4,11
NJ,87.4,27,34.5,5,12.9,7
DC,87.1,,48.5,,28.0
MO,86.8,28,25.2,33,9.5,24
IN,86.6,29,22.5,43,8.1,38
VA,86.6,30,34.0,6,14.1,4
IL,86.4,31,30.6,12,11.7,9
OK,85.6,32,22.7,42,7.4,43
United States,85.3,,27.9,,10.3
FL,85.3,33,25.3,31,9.0,28
NY,84.7,34,32.4,8,14.0,5
RI,84.7,35,30.5,13,11.7,9
NC,84.3,36,26.5,25,8.8,31
AZ,84.2,37,25.6,29,9.3,26
GA,83.9,38,27.5,20,9.9,21
NV,83.9,39,21.8,45,7.6,41
SC,83.6,40,24.3,37,8.4,35
TN,83.1,41,23.0,41,7.9,39
NM,82.8,42,25.3,32,10.4,16
WV,82.8,43,17.3,50,6.7,48
AR,82.4,44,18.9,49,6.1,50
LA,82.2,45,21.4,46,6.9,47
AL,82.1,46,22.0,44,7.7,40
KY,81.7,47,21.0,47,8.5,33
CA,80.6,48,29.9,14,10.7,15
MS,80.4,49,19.6,48,7.1,46
TX,79.9,50,25.5,30,8.5,33
